date,description,amount
01/02/2026,WHOLEFDS #1234 MARKET,87.43
01/03/2026,LYFT *RIDE SAT 10PM,14.20
01/05/2026,NETFLIX.COM,15.99
01/06/2026,STARBUCKS STORE #9081,6.75
01/07/2026,AMZN MKTP US*AB1C2D3E,34.99
01/08/2026,WHOLEFDS #1234 MARKET,62.18
01/10/2026,DIRECT DEPOSIT ACME CORP,3200.00
01/10/2026,CON EDISON CO NY,98.50
01/11/2026,SPOTIFY USA,9.99
01/12/2026,CHIPOTLE MEXICAN GR,12.45
01/13/2026,UBER* TRIP HELP.UBER.COM,22.30
2026-01-14,,18.62
01/15/2026,WHOLEFDS #1234 MARKET,94.71
01/15/2026,WHOLEFDS #1234 MARKET,94.71
01/16/2026,OPENAI *CHATGPT SUB,20.00
01/17/2026,SWEETGREEN NOLITA,16.80
01/18/2026,AMZN MKTP US*ZX9Y8W7V,127.49
01/20/2026,CITI CARD AUTOPAY,-850.00
01/21/2026,SQ *BLUE BOTTLE COFFEE,5.50
01/22/2026,DUANE READE #14521,24.33
01/24/2026,LYFT *RIDE FRI 7PM,18.90
01/25/2026,HULU 877-8-HULU-TV,17.99
01/26/2026,TRADER JOE S #542,73.14
01/27/2026,VENMO PAYMENT SENT,60.00
01/28/2026,AMZN MKTP US*MN4OP5QR,22.17
01/29/2026,SWEETGREEN NOLITA,16.80
01/30/2026,CON EDISON CO NY,102.30
01/31/2026,INSURANCE REFUND DELTA CARE,-42.00
02/01/2026,WHOLEFDS #1234 MARKET,81.55
02/03/2026,NETFLIX.COM,15.99
02/03/2026,NETFLIX.COM,15.99
02/04/2026,STARBUCKS STORE #9081,7.25
02/05/2026,SPOTIFY USA,9.99
02/07/2026,DIRECT DEPOSIT ACME CORP,3200.00
02/08/2026,UBER* TRIP HELP.UBER.COM,31.10
02/10/2026,CHIPOTLE MEXICAN GR,13.90
02/11/2026,OPENAI *CHATGPT SUB,20.00
02/12/2026,AMZN MKTP US*KL6MN7OP,55.80
02/13/2026,SQ *BLUE BOTTLE COFFEE,5.50
02/14/2026,TRADER JOE S #542,68.42
02/17/2026,CVS PHARMACY #7823,31.45
02/18/2026,LYFT *RIDE MON 9AM,11.75
02/19/2026,VENMO PAYMENT SENT,40.00
02/20/2026,HULU 877-8-HULU-TV,seventeen ninety-nine
02/22/2026,WHOLEFDS #1234 MARKET,91.20
02/24/2026,CITI CARD AUTOPAY,-850.00
02/25/2026,DUANE READE #14521,19.88
02/26/2026,SQ *GOTHAM BAGELS,8.40
02/28/2026,CON EDISON CO NY,95.70
02/28/2026,AMZN MKTP US*RT2UV3WX,47.60
02/28/2026,SPOTIFY USA,9.99
02/28/2026,PAYROLL CORRECTION ACME CORP,-125.50
,MISSING DATE ENTRY,33.00
